代码,地区
豫F,河南省鹤壁市
豫G,河南省新乡市
豫H,河南省焦作市
豫J,河南省濮阳市
豫K,河南省许昌市
豫L,河南省漯河市
豫M,河南省三门峡市
豫N,河南省商丘市
豫O,河南省公安厅交通管理局车辆管理所
豫P,河南省周口市
豫Q,河南省驻马店市
豫R,河南省南阳市
豫S,河南省信阳市
豫U,河南省济源市
鄂A,湖北省武汉市
鄂B,湖北省黄石市
鄂C,湖北省十堰市
鄂D,湖北省荆州市
鄂E,湖北省宜昌市
鄂F,湖北省襄阳市
鄂G,湖北省鄂州市
鄂H,湖北省荆门市
鄂J,湖北省黄冈市
鄂K,湖北省孝感市
鄂L,湖北省咸宁市
鄂M,湖北省仙桃市
鄂N,湖北省潜江市
鄂O,湖北省公安厅交通管理局车辆管理所
鄂P,湖北省神农架林区
鄂Q,湖北省恩施土家族苗族自治州
鄂R,湖北省天门市
鄂S,湖北省随州市
湘[AS],湖南省长沙市
湘B,湖南省株洲市
湘C,湖南省湘潭市
湘D,湖南省衡阳市
湘E,湖南省邵阳市
湘F,湖南省岳阳市
湘G,湖南省张家界市
湘H,湖南省益阳市
湘J,湖南省常德市
湘K,湖南省娄底市
湘L,湖南省郴州市
湘M,湖南省永州市
湘N,湖南省怀化市
湘O,湖南省公安厅交通警察总队车辆管理所
湘U,湖南省湘西土家族苗族自治州
粤A,广东省广州市
粤B,广东省深圳市
粤C,广东省珠海市
粤D,广东省汕头市
粤[EXY],广东省佛山市
粤F,广东省韶关市
粤G,广东省湛江市
粤H,广东省肇庆市
粤J,广东省江门市
粤K,广东省茂名市
粤L,广东省惠州市
粤M,广东省梅州市
粤N,广东省汕尾市
粤O,广东省公安厅交通管理局车辆管理所
粤P,广东省河源市
粤Q,广东省阳江市
粤R,广东省清远市
粤S,广东省东莞市
粤T,广东省中山市
粤U,广东省潮州市
粤V,广东省揭阳市
粤W,广东省云浮市
粤Z,广东省公安厅交通管理局车辆管理所
桂A,广西壮族自治区南宁市
桂B,广西壮族自治区柳州市
桂[CH],广西壮族自治区桂林市
桂D,广西壮族自治区梧州市
桂E,广西壮族自治区北海市
桂F,广西壮族自治区崇左市
桂G,广西壮族自治区来宾市
桂J,广西壮族自治区贺州市
桂K,广西壮族自治区玉林市
桂L,广西壮族自治区百色市
桂M,广西壮族自治区河池市
桂N,广西壮族自治区钦州市
桂O,广西壮族自治区公安厅交通管理局车辆管理所
桂P,广西壮族自治区防城港市
桂R,广西壮族自治区贵港市
琼A,海南省海口市
琼B,海南省三亚市
琼C,海南省公安厅交通警察总队琼北车辆管理所
琼D,海南省公安厅交通警察总队琼南车辆管理所
琼E,海南省洋浦经济开发区公安局交通警察支队车辆管理所
琼F,海南省儋州市
琼O,海南省公安厅交通警察总队车辆管理所
渝[A-Z],重庆市
川[AG],四川省成都市
川B,四川省绵阳市
川C,四川省自贡市
川D,四川省攀枝花市
川E,四川省泸州市
川F,四川省德阳市
川H,四川省广元市
川J,四川省遂宁市
川K,四川省内江市
川L,四川省乐山市
川M,四川省资阳市
川O,四川省公安厅交通管理局车辆管理所
川Q,四川省宜宾市
川R,四川省南充市
川S,四川省达州市
川T,四川省雅安市
川U,四川省阿坝藏族羌族自治州
川V,四川省甘孜藏族自治州
川W,四川省凉山彝族自治州
川X,四川省广安市
川Y,四川省巴中市
川Z,四川省眉山市
贵A,贵州省贵阳市
贵B,贵州省六盘水市
贵C,贵州省遵义市
贵D,贵州省铜仁市
贵E,贵州省黔西南布依族苗族自治州
贵F,贵州省毕节市
贵G,贵州省安顺市
贵H,贵州省黔东南苗族侗族自治州
贵J,贵州省黔南布依族苗族自治州
贵O,贵州省公安厅交通管理局车辆管理所
云A,云南省昆明市
云C,云南省昭通市
云D,云南省曲靖市
云E,云南省楚雄彝族自治州
云F,云南省玉溪市
云G,云南省红河哈尼族彝族自治州
云H,云南省文山壮族苗族自治州
云J,云南省普洱市
云K,云南省西双版纳傣族自治州
云L,云南省大理白族自治州
云M,云南省保山市
云N,云南省德宏傣族景颇族自治州
云O,云南省公安厅交通警察总队车辆管理所
云P,云南省丽江市
云Q,云南省怒江傈僳族自治州
云R,云南省迪庆藏族自治州
云S,云南省临沧市
藏A,西藏自治区拉萨市
藏B,西藏自治区昌都市
藏C,西藏自治区山南市
藏D,西藏自治区日喀则市
藏E,西藏自治区那曲市
藏F,西藏自治区阿里地区
藏G,西藏自治区林芝市
藏O,西藏自治区公安厅公安交通管理局车辆管理所
陕A,陕西省西安市
陕B,陕西省铜川市
陕C,陕西省宝鸡市
陕D,陕西省咸阳市
陕E,陕西省渭南市
陕F,陕西省汉中市
陕G,陕西省安康市
陕H,陕西省商洛市
陕J,陕西省延安市
陕K,陕西省榆林市
陕O,陕西省公安厅交通警察总队车辆管理所
陕V,陕西省公安厅交通警察总队车辆管理所杨陵分所
甘A,甘肃省兰州市
甘B,甘肃省嘉峪关市
甘C,甘肃省金昌市
甘D,甘肃省白银市
甘E,甘肃省天水市
甘F,甘肃省酒泉市
甘G,甘肃省张掖市
甘H,甘肃省武威市
甘J,甘肃省定西市
甘K,甘肃省陇南市
甘L,甘肃省平凉市
甘M,甘肃省庆阳市
甘N,甘肃省临夏回族自治州
甘O,甘肃省公安厅交通警察总队车辆管理所
甘P,甘肃省甘南藏族自治州
青A,青海省西宁市
青B,青海省海东市
青C,青海省海北藏族自治州
青D,青海省黄南藏族自治州
青E,青海省海南藏族自治州
青F,青海省果洛藏族自治州
青G,青海省玉树藏族自治州
青H,青海省海西蒙古族藏族自治州
青O,青海省公安厅交通警察总队车辆管理所
宁A,宁夏回族自治区银川市
宁B,宁夏回族自治区石嘴山市
宁C,宁夏回族自治区吴忠市
宁D,宁夏回族自治区固原市
宁E,宁夏回族自治区中卫市
宁O,宁夏回族自治区公安厅交通管理局车辆管理所
新A,新疆维吾尔自治区乌鲁木齐市
新B,新疆维吾尔自治区昌吉回族自治州
新C,新疆维吾尔自治区石河子市
新[DF],新疆维吾尔自治区伊犁哈萨克自治州
新E,新疆维吾尔自治区博尔塔拉蒙古自治州
新G,新疆维吾尔自治区塔城地区
新H,新疆维吾尔自治区阿勒泰地区
新J,新疆维吾尔自治区克拉玛依市
新K,新疆维吾尔自治区吐鲁番市
新L,新疆维吾尔自治区哈密市
新M,新疆维吾尔自治区巴音郭楞蒙古自治州
新N,新疆维吾尔自治区阿克苏地区
新O,新疆维吾尔自治区公安厅交通警察总队车辆管理所
新P,新疆维吾尔自治区克孜勒苏柯尔克孜自治州
新Q,新疆维吾尔自治区喀什地区
新R,新疆维吾尔自治区和田地区
